OBJECTID,Census_Tract_FIPS,Census_Tract_Name,County_Name,Adult_Population_Age18_and_over,Health_Statistics_Region,Smoker_Census_Tract_Estimate,Smoker_Estimate_Confidence_Interval,Smoker_Map_Symbol_withinHSR,Smoker_County_Regional_Estimate,Smoker_Map_Symbol_State,Smoker_State_Estimate
1,8043979000,"Census Tract 9790, Fremont County, Colorado",Fremont,2994,13,20.4,95% C.I.: 19.2 - 21.8,Middle Quintile,County/Regional Estimate 22.3% (95% C.I.: 17.3 - 27.2),Highest Quintile,State Estimate 15.4% (95% C.I.: 14.9 - 15.9)
2,8045951600,"Census Tract 9516, Garfield County, Colorado",Garfield,2800,12,14.5,95% C.I.: 13.6 - 15.6,Fourth Quintile,County/Regional Estimate 15.7% (95% C.I.: 11.4 - 20),Second Quintile,State Estimate 15.4% (95% C.I.: 14.9 - 15.9)
3,8069002803,"Census Tract 28.03, Larimer County, Colorado",Larimer,97,2,13.7,95% C.I.: 13.3 - 14.1,Fourth Quintile,County/Regional Estimate 12.9% (95% C.I.: 11.2 - 14.7),Second Quintile,State Estimate 15.4% (95% C.I.: 14.9 - 15.9)
4,8125963200,"Census Tract 9632, Yuma County, Colorado",Yuma,4381,1,19.6,95% C.I.: 17.3 - 23,Highest Quintile,County/Regional Estimate 17.5% (95% C.I.: 10.3 - 24.7),Highest Quintile,State Estimate 15.4% (95% C.I.: 14.9 - 15.9)
5,8069002401,"Census Tract 24.01, Larimer County, Colorado",Larimer,1190,2,9.6,95% C.I.: 9.3 - 10.1,Lowest Quintile,County/Regional Estimate 12.9% (95% C.I.: 11.2 - 14.7),Lowest Quintile,State Estimate 15.4% (95% C.I.: 14.9 - 15.9)
6,8069002402,"Census Tract 24.02, Larimer County, Colorado",Larimer,2298,2,11.3,95% C.I.: 10.9 - 11.7,Lowest Quintile,County/Regional Estimate 12.9% (95% C.I.: 11.2 - 14.7),Lowest Quintile,State Estimate 15.4% (95% C.I.: 14.9 - 15.9)
7,8103951200,"Census Tract 9512, Rio Blanco County, Colorado",Rio Blanco,2080,11,12.7,95% C.I.: 10.3 - 15.7,Middle Quintile,County/Regional Estimate 17.7% (95% C.I.: 8 - 27.3),Lowest Quintile,State Estimate 15.4% (95% C.I.: 14.9 - 15.9)
8,8103951100,"Census Tract 9511, Rio Blanco County, Colorado",Rio Blanco,2887,11,11.9,95% C.I.: 9.6 - 14.4,Middle Quintile,County/Regional Estimate 17.7% (95% C.I.: 8 - 27.3),Lowest Quintile,State Estimate 15.4% (95% C.I.: 14.9 - 15.9)
9,8049000201,"Census Tract 2.01, Grand County, Colorado",Grand,4247,12,18.7,95% C.I.: 16.8 - 20.8,Highest Quintile,County/Regional Estimate 21.5% (95% C.I.: 12.8 - 30.3),Highest Quintile,State Estimate 15.4% (95% C.I.: 14.9 - 15.9)
10,8049000202,"Census Tract 2.02, Grand County, Colorado",Grand,5788,12,20.2,95% C.I.: 18 - 22.8,Highest Quintile,County/Regional Estimate 21.5% (95% C.I.: 12.8 - 30.3),Highest Quintile,State Estimate 15.4% (95% C.I.: 14.9 - 15.9)
