OBJECTID,Census_Tract_FIPS,Census_Tract_Name,County_Name,Adult_Population_Age18_and_over,Health_Statistics_Region,Depressive_Disorder_Census_Tract_Estimate,Depressive_Disorder_Estimate_Confidence_Interval,Depressive_Disorder_Map_Symbol_withinHSR,Depressive_Disorder_County_Regional_Estimate,Depressive_Disorder_Map_Symbol_State,Depressive_Disorder_State_Estimate
1,8043979000,"Census Tract 9790, Fremont County, Colorado",Fremont,2994,13,20.1,95% C.I.: 18.9 - 21.4,Middle Quintile,County/Regional Estimate 21.6% (95% C.I.: 17.5 - 25.8),Highest Quintile,State Estimate 18.1% (95% C.I.: 17.6 - 18.5)
2,8045951600,"Census Tract 9516, Garfield County, Colorado",Garfield,2800,12,15.9,95% C.I.: 14.8 - 17.1,Fourth Quintile,County/Regional Estimate 15.4% (95% C.I.: 11.5 - 19.3),Lowest Quintile,State Estimate 18.1% (95% C.I.: 17.6 - 18.5)
3,8069002803,"Census Tract 28.03, Larimer County, Colorado",Larimer,97,2,19.7,95% C.I.: 19.2 - 20.2,Highest Quintile,County/Regional Estimate 18.3% (95% C.I.: 16.3 - 20.2),Fourth Quintile,State Estimate 18.1% (95% C.I.: 17.6 - 18.5)
4,8125963200,"Census Tract 9632, Yuma County, Colorado",Yuma,4381,1,10.2,95% C.I.: 8.7 - 13,Lowest Quintile,County/Regional Estimate 11.2% (95% C.I.: 6.2 - 16.2),Lowest Quintile,State Estimate 18.1% (95% C.I.: 17.6 - 18.5)
5,8069002401,"Census Tract 24.01, Larimer County, Colorado",Larimer,1190,2,17.4,95% C.I.: 16.8 - 18,Lowest Quintile,County/Regional Estimate 18.3% (95% C.I.: 16.3 - 20.2),Second Quintile,State Estimate 18.1% (95% C.I.: 17.6 - 18.5)
6,8069002402,"Census Tract 24.02, Larimer County, Colorado",Larimer,2298,2,16.6,95% C.I.: 16.1 - 17.1,Lowest Quintile,County/Regional Estimate 18.3% (95% C.I.: 16.3 - 20.2),Lowest Quintile,State Estimate 18.1% (95% C.I.: 17.6 - 18.5)
7,8103951200,"Census Tract 9512, Rio Blanco County, Colorado",Rio Blanco,2080,11,9,95% C.I.: 7.3 - 12,Lowest Quintile,County/Regional Estimate 9% (95% C.I.: 3.9 - 14),Lowest Quintile,State Estimate 18.1% (95% C.I.: 17.6 - 18.5)
8,8103951100,"Census Tract 9511, Rio Blanco County, Colorado",Rio Blanco,2887,11,9.6,95% C.I.: 8 - 12.5,Lowest Quintile,County/Regional Estimate 9% (95% C.I.: 3.9 - 14),Lowest Quintile,State Estimate 18.1% (95% C.I.: 17.6 - 18.5)
9,8049000201,"Census Tract 2.01, Grand County, Colorado",Grand,4247,12,15.1,95% C.I.: 13.4 - 16.9,Fourth Quintile,County/Regional Estimate 16% (95% C.I.: 6.3 - 25.7),Lowest Quintile,State Estimate 18.1% (95% C.I.: 17.6 - 18.5)
10,8049000202,"Census Tract 2.02, Grand County, Colorado",Grand,5788,12,18,95% C.I.: 15.9 - 20.2,Highest Quintile,County/Regional Estimate 16% (95% C.I.: 6.3 - 25.7),Second Quintile,State Estimate 18.1% (95% C.I.: 17.6 - 18.5)
11,8049000100,"Census Tract 1, Grand County, Colorado",Grand,2203,12,16.6,95% C.I.: 14.2 - 18.8,Highest Quintile,County/Regional Estimate 16% (95% C.I.: 6.3 - 25.7),Lowest Quintile,State Estimate 18.1% (95% C.I.: 17.6 - 18.5)
12,8081000600,"Census Tract 6, Moffat County, Colorado",Moffat,958,11,15.9,95% C.I.: 14.2 - 18.2,Highest Quintile,County/Regional Estimate 18.2% (95% C.I.: 11.9 - 24.6),Lowest Quintile,State Estimate 18.1% (95% C.I.: 17.6 - 18.5)
