OBJECTID,Census_Tract_FIPS,Census_Tract_Name,County_Name,Adult_Population_Age18_and_over,Health_Statistics_Region,Fluvax_Census_Tract_Estimate,Fluvax_Estimate_Confidence_Interval,Fluvax_Map_Symbol_withinHSR,Fluvax_County_Regional_Estimate,Fluvax_Map_Symbol_State,Fluvax_State_Estimate
1,8043979000,"Census Tract 9790, Fremont County, Colorado",Fremont,2994,13,40.2,95% C.I.: 38.6 - 41.7,Lowest Quintile,County/Regional Estimate 39.8% (95% C.I.: 34.8 - 44.8),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
2,8045951600,"Census Tract 9516, Garfield County, Colorado",Garfield,2800,12,40.8,95% C.I.: 39.3 - 42.4,Lowest Quintile,County/Regional Estimate 39% (95% C.I.: 33.7 - 44.3),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
3,8069002803,"Census Tract 28.03, Larimer County, Colorado",Larimer,97,2,39.3,95% C.I.: 38.6 - 40,Highest Qunitile,County/Regional Estimate 43.8% (95% C.I.: 41.3 - 46.2),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
4,8125963200,"Census Tract 9632, Yuma County, Colorado",Yuma,4381,1,39.8,95% C.I.: 36.2 - 43.7,Fourth Quintile,County/Regional Estimate 35.9% (95% C.I.: 28 - 43.8),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
5,8069002401,"Census Tract 24.01, Larimer County, Colorado",Larimer,1190,2,52.5,95% C.I.: 51.7 - 53.2,Lowest Quintile,County/Regional Estimate 43.8% (95% C.I.: 41.3 - 46.2),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
6,8069002402,"Census Tract 24.02, Larimer County, Colorado",Larimer,2298,2,47,95% C.I.: 46.4 - 47.6,Lowest Quintile,County/Regional Estimate 43.8% (95% C.I.: 41.3 - 46.2),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
7,8103951200,"Census Tract 9512, Rio Blanco County, Colorado",Rio Blanco,2080,11,36.9,95% C.I.: 33 - 41.1,Highest Qunitile,County/Regional Estimate 38.8% (95% C.I.: 28.4 - 49.2),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
8,8103951100,"Census Tract 9511, Rio Blanco County, Colorado",Rio Blanco,2887,11,41,95% C.I.: 37.3 - 44.7,Fourth Quintile,County/Regional Estimate 38.8% (95% C.I.: 28.4 - 49.2),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
9,8049000201,"Census Tract 2.01, Grand County, Colorado",Grand,4247,12,32.7,95% C.I.: 30.3 - 35.4,Highest Qunitile,County/Regional Estimate 30.6% (95% C.I.: 20.9 - 40.3),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
10,8049000202,"Census Tract 2.02, Grand County, Colorado",Grand,5788,12,27.4,95% C.I.: 25 - 30.2,Highest Qunitile,County/Regional Estimate 30.6% (95% C.I.: 20.9 - 40.3),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
