OBJECTID,Census_Tract_FIPS,Census_Tract_Name,County_Name,Adult_Population_Age18_and_over,Health_Statistics_Region,Healthcare_Coverage_Census_Tract_Estimate,Healthcare_Coverage_Estimate_Confidence_Interval,Healthcare_Coverage_Map_Symbol_withinHSR,Healthcare_Coverage_County_Regional_Estimate,Healthcare_Coverage_Map_Symbol_State,Healthcare_Coverage_State_Estimate
1,8043979000,"Census Tract 9790, Fremont County, Colorado",Fremont,2994,13,90.1,95% C.I.: 88.8 - 90.8,Middle Quintile,County/Regional Estimate 90.3% (95% C.I.: 87.1 - 93.5),Middle Quintile,State Estimate 88.7% (95% C.I.: 88.3 - 89.1)
2,8045951600,"Census Tract 9516, Garfield County, Colorado",Garfield,2800,12,77.5,95% C.I.: 76.4 - 78.6,Fourth Quintile,County/Regional Estimate 74.9% (95% C.I.: 69.9 - 79.8),Highest Quintile,State Estimate 88.7% (95% C.I.: 88.3 - 89.1)
3,8069002803,"Census Tract 28.03, Larimer County, Colorado",Larimer,97,2,88.7,95% C.I.: 88.2 - 89.2,Highest Quintile,County/Regional Estimate 90.9% (95% C.I.: 89.4 - 92.5),Fourth Quintile,State Estimate 88.7% (95% C.I.: 88.3 - 89.1)
4,8125963200,"Census Tract 9632, Yuma County, Colorado",Yuma,4381,1,81.8,95% C.I.: 78.1 - 83.8,Highest Quintile,County/Regional Estimate 78.2% (95% C.I.: 68.5 - 87.8),Highest Quintile,State Estimate 88.7% (95% C.I.: 88.3 - 89.1)
5,8069002401,"Census Tract 24.01, Larimer County, Colorado",Larimer,1190,2,94.5,95% C.I.: 94.2 - 94.8,Lowest Quintile,County/Regional Estimate 90.9% (95% C.I.: 89.4 - 92.5),Lowest Quintile,State Estimate 88.7% (95% C.I.: 88.3 - 89.1)
6,8069002402,"Census Tract 24.02, Larimer County, Colorado",Larimer,2298,2,93.7,95% C.I.: 93.4 - 93.9,Lowest Quintile,County/Regional Estimate 90.9% (95% C.I.: 89.4 - 92.5),Lowest Quintile,State Estimate 88.7% (95% C.I.: 88.3 - 89.1)
7,8103951200,"Census Tract 9512, Rio Blanco County, Colorado",Rio Blanco,2080,11,94.2,95% C.I.: 91.7 - 95.5,Lowest Quintile,County/Regional Estimate 95.6% (95% C.I.: 91.8 - 99.4),Lowest Quintile,State Estimate 88.7% (95% C.I.: 88.3 - 89.1)
8,8103951100,"Census Tract 9511, Rio Blanco County, Colorado",Rio Blanco,2887,11,93.4,95% C.I.: 91.2 - 94.7,Lowest Quintile,County/Regional Estimate 95.6% (95% C.I.: 91.8 - 99.4),Lowest Quintile,State Estimate 88.7% (95% C.I.: 88.3 - 89.1)
9,8049000201,"Census Tract 2.01, Grand County, Colorado",Grand,4247,12,85.9,95% C.I.: 83.6 - 87.3,Second Quintile,County/Regional Estimate 81% (95% C.I.: 73 - 89.1),Highest Quintile,State Estimate 88.7% (95% C.I.: 88.3 - 89.1)
10,8049000202,"Census Tract 2.02, Grand County, Colorado",Grand,5788,12,82.8,95% C.I.: 79.7 - 84.5,Second Quintile,County/Regional Estimate 81% (95% C.I.: 73 - 89.1),Highest Quintile,State Estimate 88.7% (95% C.I.: 88.3 - 89.1)
11,8049000100,"Census Tract 1, Grand County, Colorado",Grand,2203,12,84,95% C.I.: 80.7 - 85.6,Second Quintile,County/Regional Estimate 81% (95% C.I.: 73 - 89.1),Highest Quintile,State Estimate 88.7% (95% C.I.: 88.3 - 89.1)
12,8081000600,"Census Tract 6, Moffat County, Colorado",Moffat,958,11,88,95% C.I.: 85.5 - 89.7,Fourth Quintile,County/Regional Estimate 86.8% (95% C.I.: 80.1 - 93.5),Fourth Quintile,State Estimate 88.7% (95% C.I.: 88.3 - 89.1)
13,8081000500,"Census Tract 5, Moffat County, Colorado",Moffat,3137,11,87.6,95% C.I.: 85.5 - 89.2,Highest Quintile,County/Regional Estimate 86.8% (95% C.I.: 80.1 - 93.5),Fourth Quintile,State Estimate 88.7% (95% C.I.: 88.3 - 89.1)
14,8081000400,"Census Tract 4, Moffat County, Colorado",Moffat,3471,11,85.8,95% C.I.: 83.4 - 87.8,Highest Quintile,County/Regional Estimate 86.8% (95% C.I.: 80.1 - 93.5),Highest Quintile,State Estimate 88.7% (95% C.I.: 88.3 - 89.1)
15,8081000300,"Census Tract 3, Moffat County, Colorado",Moffat,2123,11,89.3,95% C.I.: 87.8 - 90.6,Second Quintile,County/Regional Estimate 86.8% (95% C.I.: 80.1 - 93.5),Fourth Quintile,State Estimate 88.7% (95% C.I.: 88.3 - 89.1)
16,8057955600,"Census Tract 9556, Jackson County, Colorado",Jackson,1082,11,82.1,95% C.I.: 75.3 - 84.2,Highest Quintile,County/Regional Estimate 88.3% (95% C.I.: 84.6 - 92.1),Highest Quintile,State Estimate 88.7% (95% C.I.: 88.3 - 89.1)
17,8121924100,"Census Tract 9241, Washington County, Colorado",Washington,1455,1,95.2,95% C.I.: 92.3 - 96.3,Lowest Quintile,County/Regional Estimate 90.4% (95% C.I.: 83.6 - 97.1),Lowest Quintile,State Estimate 88.7% (95% C.I.: 88.3 - 89.1)
18,8107000800,"Census Tract 8, Routt County, Colorado",Routt,1658,11,89.4,95% C.I.: 87.2 - 90.5,Second Quintile,County/Regional Estimate 88.5% (95% C.I.: 83.2 - 93.8),Fourth Quintile,State Estimate 88.7% (95% C.I.: 88.3 - 89.1)
19,8107000700,"Census Tract 7, Routt County, Colorado",Routt,4215,11,88.1,95% C.I.: 85.7 - 89.3,Fourth Quintile,County/Regional Estimate 88.5% (95% C.I.: 83.2 - 93.8),Fourth Quintile,State Estimate 88.7% (95% C.I.: 88.3 - 89.1)
20,8107000500,"Census Tract 5, Routt County, Colorado",Routt,3589,11,88.4,95% C.I.: 86.3 - 89.5,Middle Quintile,County/Regional Estimate 88.5% (95% C.I.: 83.2 - 93.8),Fourth Quintile,State Estimate 88.7% (95% C.I.: 88.3 - 89.1)
21,8107000200,"Census Tract 2, Routt County, Colorado",Routt,1487,11,88.7,95% C.I.: 85.6 - 89.8,Middle Quintile,County/Regional Estimate 88.5% (95% C.I.: 83.2 - 93.8),Fourth Quintile,State Estimate 88.7% (95% C.I.: 88.3 - 89.1)
22,8107000400,"Census Tract 4, Routt County, Colorado",Routt,2958,11,89.3,95% C.I.: 86.2 - 90.4,Middle Quintile,County/Regional Estimate 88.5% (95% C.I.: 83.2 - 93.8),Fourth Quintile,State Estimate 88.7% (95% C.I.: 88.3 - 89.1)
23,8107000600,"Census Tract 6, Routt County, Colorado",Routt,2509,11,88,95% C.I.: 86.1 - 89.1,Fourth Quintile,County/Regional Estimate 88.5% (95% C.I.: 83.2 - 93.8),Fourth Quintile,State Estimate 88.7% (95% C.I.: 88.3 - 89.1)
24,8107000300,"Census Tract 3, Routt County, Colorado",Routt,1805,11,90.3,95% C.I.: 88.6 - 91.3,Second Quintile,County/Regional Estimate 88.5% (95% C.I.: 83.2 - 93.8),Middle Quintile,State Estimate 88.7% (95% C.I.: 88.3 - 89.1)
25,8107000100,"Census Tract 1, Routt County, Colorado",Routt,1532,11,91.9,95% C.I.: 90.7 - 92.7,Lowest Quintile,County/Regional Estimate 88.5% (95% C.I.: 83.2 - 93.8),Second Quintile,State Estimate 88.7% (95% C.I.: 88.3 - 89.1)
