OBJECTID,Census_Tract_FIPS,Census_Tract_Name,County_Name,Adult_Population_Age18_and_over,Health_Statistics_Region,HealthStatus_Census_Tract_Estimate,HealthStatus_Estimate_Confidence_Interval,HealthStatus_Map_Symbol_withinHSR,HealthStatus_County_Regional_Estimate,HealthStatus_Map_Symbol_State,HealthStatus_State_Estimate
1,8043979000,"Census Tract 9790, Fremont County, Colorado",Fremont,2994,13,19.2,95% C.I.: 18 - 20.5,Highest Quintile,County/Regional Estimate 19.2% (95% C.I.: 15.4 - 23),Highest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
2,8045951600,"Census Tract 9516, Garfield County, Colorado",Garfield,2800,12,14.5,95% C.I.: 13.4 - 15.7,Fourth Quintile,County/Regional Estimate 15.6% (95% C.I.: 11.8 - 19.4),Fourth Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
3,8069002803,"Census Tract 28.03, Larimer County, Colorado",Larimer,97,2,8.7,95% C.I.: 8.3 - 9.1,Lowest Quintile,County/Regional Estimate 11% (95% C.I.: 9.6 - 12.4),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
4,8125963200,"Census Tract 9632, Yuma County, Colorado",Yuma,4381,1,18.4,95% C.I.: 16.2 - 21.5,Highest Quintile,County/Regional Estimate 20% (95% C.I.: 13.3 - 26.8),Highest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
5,8069002401,"Census Tract 24.01, Larimer County, Colorado",Larimer,1190,2,12.4,95% C.I.: 11.9 - 13,Highest Quintile,County/Regional Estimate 11% (95% C.I.: 9.6 - 12.4),Middle Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
6,8069002402,"Census Tract 24.02, Larimer County, Colorado",Larimer,2298,2,10.8,95% C.I.: 10.4 - 11.3,Fourth Quintile,County/Regional Estimate 11% (95% C.I.: 9.6 - 12.4),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
7,8103951200,"Census Tract 9512, Rio Blanco County, Colorado",Rio Blanco,2080,11,10.4,95% C.I.: 8.9 - 13,Middle Quintile,County/Regional Estimate 15.8% (95% C.I.: 8.5 - 23),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
8,8103951100,"Census Tract 9511, Rio Blanco County, Colorado",Rio Blanco,2887,11,10.2,95% C.I.: 8.7 - 12.9,Middle Quintile,County/Regional Estimate 15.8% (95% C.I.: 8.5 - 23),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
9,8049000201,"Census Tract 2.01, Grand County, Colorado",Grand,4247,12,6.7,95% C.I.: 5.6 - 8.5,Middle Quintile,County/Regional Estimate 5.5% (95% C.I.: 1.7 - 9.3),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
10,8049000202,"Census Tract 2.02, Grand County, Colorado",Grand,5788,12,5.2,95% C.I.: 4.2 - 7.3,Second Quintile,County/Regional Estimate 5.5% (95% C.I.: 1.7 - 9.3),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
11,8049000100,"Census Tract 1, Grand County, Colorado",Grand,2203,12,6.1,95% C.I.: 5 - 9,Second Quintile,County/Regional Estimate 5.5% (95% C.I.: 1.7 - 9.3),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
12,8081000600,"Census Tract 6, Moffat County, Colorado",Moffat,958,11,16.2,95% C.I.: 14.2 - 18.6,Highest Quintile,County/Regional Estimate 14.5% (95% C.I.: 9.1 - 20),Fourth Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
13,8081000500,"Census Tract 5, Moffat County, Colorado",Moffat,3137,11,14.4,95% C.I.: 12.7 - 16.5,Fourth Quintile,County/Regional Estimate 14.5% (95% C.I.: 9.1 - 20),Middle Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
14,8081000400,"Census Tract 4, Moffat County, Colorado",Moffat,3471,11,14.9,95% C.I.: 13 - 17.2,Fourth Quintile,County/Regional Estimate 14.5% (95% C.I.: 9.1 - 20),Fourth Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
15,8081000300,"Census Tract 3, Moffat County, Colorado",Moffat,2123,11,16.8,95% C.I.: 15.1 - 18.6,Highest Quintile,County/Regional Estimate 14.5% (95% C.I.: 9.1 - 20),Highest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
16,8057955600,"Census Tract 9556, Jackson County, Colorado",Jackson,1082,11,18.5,95% C.I.: 15.3 - 23.9,Highest Quintile,County/Regional Estimate 13.6% (95% C.I.: 10.3 - 17),Highest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
17,8121924100,"Census Tract 9241, Washington County, Colorado",Washington,1455,1,12.5,95% C.I.: 10.4 - 15.3,Lowest Quintile,County/Regional Estimate 16.2% (95% C.I.: 5 - 27.3),Middle Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
18,8107000800,"Census Tract 8, Routt County, Colorado",Routt,1658,11,8.8,95% C.I.: 7.7 - 10.7,Lowest Quintile,County/Regional Estimate 10.9% (95% C.I.: 6.3 - 15.5),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
19,8107000700,"Census Tract 7, Routt County, Colorado",Routt,4215,11,9.4,95% C.I.: 8.1 - 11.4,Middle Quintile,County/Regional Estimate 10.9% (95% C.I.: 6.3 - 15.5),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
20,8107000500,"Census Tract 5, Routt County, Colorado",Routt,3589,11,9.4,95% C.I.: 8.3 - 11.2,Second Quintile,County/Regional Estimate 10.9% (95% C.I.: 6.3 - 15.5),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
21,8107000200,"Census Tract 2, Routt County, Colorado",Routt,1487,11,10.8,95% C.I.: 9.6 - 13.3,Fourth Quintile,County/Regional Estimate 10.9% (95% C.I.: 6.3 - 15.5),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
22,8107000400,"Census Tract 4, Routt County, Colorado",Routt,2958,11,9,95% C.I.: 7.8 - 11.3,Second Quintile,County/Regional Estimate 10.9% (95% C.I.: 6.3 - 15.5),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
23,8107000600,"Census Tract 6, Routt County, Colorado",Routt,2509,11,9.3,95% C.I.: 8.1 - 10.9,Second Quintile,County/Regional Estimate 10.9% (95% C.I.: 6.3 - 15.5),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
24,8107000300,"Census Tract 3, Routt County, Colorado",Routt,1805,11,8.6,95% C.I.: 7.6 - 10.1,Lowest Quintile,County/Regional Estimate 10.9% (95% C.I.: 6.3 - 15.5),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
25,8107000100,"Census Tract 1, Routt County, Colorado",Routt,1532,11,8.2,95% C.I.: 7.2 - 9.3,Lowest Quintile,County/Regional Estimate 10.9% (95% C.I.: 6.3 - 15.5),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
26,8051963900,"Census Tract 9639, Gunnison County, Colorado",Gunnison,776,10,5.8,95% C.I.: 4.7 - 7.7,Lowest Quintile,County/Regional Estimate 5.3% (95% C.I.: 2.3 - 8.3),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
27,8051963700,"Census Tract 9637, Gunnison County, Colorado",Gunnison,5729,10,3,95% C.I.: 2.4 - 4.4,Lowest Quintile,County/Regional Estimate 5.3% (95% C.I.: 2.3 - 8.3),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
28,8051963600,"Census Tract 9636, Gunnison County, Colorado",Gunnison,3065,10,6.2,95% C.I.: 5.3 - 7.7,Second Quintile,County/Regional Estimate 5.3% (95% C.I.: 2.3 - 8.3),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
29,8051963800,"Census Tract 9638, Gunnison County, Colorado",Gunnison,3774,10,4.9,95% C.I.: 4.1 - 6.1,Lowest Quintile,County/Regional Estimate 5.3% (95% C.I.: 2.3 - 8.3),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
30,8021974900,"Census Tract 9749, Conejos County, Colorado",Conejos,3029,8,22.2,95% C.I.: 19.1 - 26.6,Highest Quintile,County/Regional Estimate 24.4% (95% C.I.: 16.1 - 32.8),Highest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
31,8021974800,"Census Tract 9748, Conejos County, Colorado",Conejos,2876,8,23.4,95% C.I.: 20.1 - 28.1,Highest Quintile,County/Regional Estimate 24.4% (95% C.I.: 16.1 - 32.8),Highest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
32,8037000703,"Census Tract 7.03, Eagle County, Colorado",Eagle,2394,12,6.9,95% C.I.: 6.2 - 8,Middle Quintile,County/Regional Estimate 14.9% (95% C.I.: 10.1 - 19.6),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
33,8037000301,"Census Tract 3.01, Eagle County, Colorado",Eagle,4847,12,11.8,95% C.I.: 10.7 - 13.3,Middle Quintile,County/Regional Estimate 14.9% (95% C.I.: 10.1 - 19.6),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
34,8037000702,"Census Tract 7.02, Eagle County, Colorado",Eagle,1428,12,4.9,95% C.I.: 4.3 - 6.1,Second Quintile,County/Regional Estimate 14.9% (95% C.I.: 10.1 - 19.6),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
