OBJECTID,Census_Tract_FIPS,Census_Tract_Name,County_Name,Adult_Population_Age18_and_over,Health_Statistics_Region,HeartDisease_Census_Tract_Estimate,HeartDisease_Estimate_Confidence_Interval,HeartDisease_Map_Symbol_withinHSR,HeartDisease_County_Regional_Estimate,HeartDisease_Map_Symbol_State,HeartDisease_State_Estimate
1,8043979000,"Census Tract 9790, Fremont County, Colorado",Fremont,2994,13,5.9,95% C.I.: 5.4 - 7.1,Highest Quintile,County/Regional Estimate 6% (95% C.I.: 3.7 - 8.3),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
2,8045951600,"Census Tract 9516, Garfield County, Colorado",Garfield,2800,12,3,95% C.I.: 2.7 - 3.8,Highest Quintile,County/Regional Estimate 3.4% (95% C.I.: 1.6 - 5.1),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
3,8069002803,"Census Tract 28.03, Larimer County, Colorado",Larimer,97,2,0.5,95% C.I.: 0.5 - 0.6,Lowest Quintile,County/Regional Estimate 2.5% (95% C.I.: 2 - 3.1),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
4,8125963200,"Census Tract 9632, Yuma County, Colorado",Yuma,4381,1,5.8,95% C.I.: 4.8 - 9,Fourth Quintile,County/Regional Estimate 5.4% (95% C.I.: 2.4 - 8.3),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
5,8069002401,"Census Tract 24.01, Larimer County, Colorado",Larimer,1190,2,4.7,95% C.I.: 4.4 - 5.1,Highest Quintile,County/Regional Estimate 2.5% (95% C.I.: 2 - 3.1),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
6,8069002402,"Census Tract 24.02, Larimer County, Colorado",Larimer,2298,2,3.7,95% C.I.: 3.5 - 4,Highest Quintile,County/Regional Estimate 2.5% (95% C.I.: 2 - 3.1),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
7,8103951200,"Census Tract 9512, Rio Blanco County, Colorado",Rio Blanco,2080,11,2.9,95% C.I.: 2.2 - 6.5,Fourth Quintile,County/Regional Estimate 4.3% (95% C.I.: 1 - 7.6),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
8,8103951100,"Census Tract 9511, Rio Blanco County, Colorado",Rio Blanco,2887,11,3.8,95% C.I.: 2.9 - 6.4,Highest Quintile,County/Regional Estimate 4.3% (95% C.I.: 1 - 7.6),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
9,8049000201,"Census Tract 2.01, Grand County, Colorado",Grand,4247,12,1.3,95% C.I.: 1 - 2.4,Second Quintile,County/Regional Estimate 0.9% (95% C.I.: 0 - 2),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
10,8049000202,"Census Tract 2.02, Grand County, Colorado",Grand,5788,12,0.9,95% C.I.: 0.7 - 2.8,Lowest Quintile,County/Regional Estimate 0.9% (95% C.I.: 0 - 2),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
