OBJECTID,Census_Tract_FIPS,Census_Tract_Name,County_Name,Adult_Population_Age18_and_over,Health_Statistics_Region,NoCheckUp_Census_Tract_Estimate,NoCheckUp_Estimate_Confidence_Interval,NoCheckUp_Map_Symbol_withinHSR,NoCheckUp_County_Regional_Estimate,NoCheckUp_Map_Symbol_State,NoCheckUp_State_Estimate
1,8043979000,"Census Tract 9790, Fremont County, Colorado",Fremont,2994,13,31.8,95% C.I.: 30.5 - 33.2,Second Quintile,County/Regional Estimate 31.5% (95% C.I.: 26.9 - 36.2),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
2,8045951600,"Census Tract 9516, Garfield County, Colorado",Garfield,2800,12,39.5,95% C.I.: 38 - 40.9,Second Quintile,County/Regional Estimate 41.5% (95% C.I.: 36.3 - 46.7),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
3,8069002803,"Census Tract 28.03, Larimer County, Colorado",Larimer,97,2,44.7,95% C.I.: 44 - 45.3,Highest Quintile,County/Regional Estimate 37% (95% C.I.: 34.7 - 39.4),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
4,8125963200,"Census Tract 9632, Yuma County, Colorado",Yuma,4381,1,50.3,95% C.I.: 46.5 - 54.1,Highest Quintile,County/Regional Estimate 52.3% (95% C.I.: 43.2 - 61.3),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
5,8069002401,"Census Tract 24.01, Larimer County, Colorado",Larimer,1190,2,29.1,95% C.I.: 28.5 - 29.8,Lowest Quintile,County/Regional Estimate 37% (95% C.I.: 34.7 - 39.4),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
6,8069002402,"Census Tract 24.02, Larimer County, Colorado",Larimer,2298,2,34.1,95% C.I.: 33.5 - 34.7,Lowest Quintile,County/Regional Estimate 37% (95% C.I.: 34.7 - 39.4),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
7,8103951200,"Census Tract 9512, Rio Blanco County, Colorado",Rio Blanco,2080,11,51.2,95% C.I.: 46.9 - 54.9,Highest Quintile,County/Regional Estimate 42.3% (95% C.I.: 31.8 - 52.9),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
8,8103951100,"Census Tract 9511, Rio Blanco County, Colorado",Rio Blanco,2887,11,47,95% C.I.: 43.1 - 50.5,Highest Quintile,County/Regional Estimate 42.3% (95% C.I.: 31.8 - 52.9),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
9,8049000201,"Census Tract 2.01, Grand County, Colorado",Grand,4247,12,45.4,95% C.I.: 43 - 47.8,Highest Quintile,County/Regional Estimate 48.2% (95% C.I.: 38.5 - 57.9),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
10,8049000202,"Census Tract 2.02, Grand County, Colorado",Grand,5788,12,46.4,95% C.I.: 43.9 - 49.4,Highest Quintile,County/Regional Estimate 48.2% (95% C.I.: 38.5 - 57.9),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
11,8049000100,"Census Tract 1, Grand County, Colorado",Grand,2203,12,45.3,95% C.I.: 42.6 - 48.2,Fourth Quintile,County/Regional Estimate 48.2% (95% C.I.: 38.5 - 57.9),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
12,8081000600,"Census Tract 6, Moffat County, Colorado",Moffat,958,11,33.8,95% C.I.: 31.3 - 36.5,Second Quintile,County/Regional Estimate 33.8% (95% C.I.: 25.6 - 41.9),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
13,8081000500,"Census Tract 5, Moffat County, Colorado",Moffat,3137,11,34,95% C.I.: 31.4 - 37.1,Middle Quintile,County/Regional Estimate 33.8% (95% C.I.: 25.6 - 41.9),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
14,8081000400,"Census Tract 4, Moffat County, Colorado",Moffat,3471,11,36.6,95% C.I.: 34.1 - 39.2,Fourth Quintile,County/Regional Estimate 33.8% (95% C.I.: 25.6 - 41.9),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
15,8081000300,"Census Tract 3, Moffat County, Colorado",Moffat,2123,11,30.7,95% C.I.: 28.4 - 34,Lowest Quintile,County/Regional Estimate 33.8% (95% C.I.: 25.6 - 41.9),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
16,8057955600,"Census Tract 9556, Jackson County, Colorado",Jackson,1082,11,49.3,95% C.I.: 43.6 - 53.7,Highest Quintile,County/Regional Estimate 35.9% (95% C.I.: 31.1 - 40.7),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
17,8121924100,"Census Tract 9241, Washington County, Colorado",Washington,1455,1,34.4,95% C.I.: 31.1 - 38.3,Second Quintile,County/Regional Estimate 41.5% (95% C.I.: 28.4 - 54.6),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
18,8107000800,"Census Tract 8, Routt County, Colorado",Routt,1658,11,32.7,95% C.I.: 30.2 - 35,Second Quintile,County/Regional Estimate 34.2% (95% C.I.: 26.8 - 41.5),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
19,8107000700,"Census Tract 7, Routt County, Colorado",Routt,4215,11,35.1,95% C.I.: 32.8 - 37.3,Fourth Quintile,County/Regional Estimate 34.2% (95% C.I.: 26.8 - 41.5),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
20,8107000500,"Census Tract 5, Routt County, Colorado",Routt,3589,11,34.9,95% C.I.: 32.8 - 37,Fourth Quintile,County/Regional Estimate 34.2% (95% C.I.: 26.8 - 41.5),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
21,8107000200,"Census Tract 2, Routt County, Colorado",Routt,1487,11,34.8,95% C.I.: 32.2 - 37.3,Middle Quintile,County/Regional Estimate 34.2% (95% C.I.: 26.8 - 41.5),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
