OBJECTID,Census_Tract_FIPS,Census_Tract_Name,County_Name,Adult_Population_Age18_and_over,Health_Statistics_Region,PhysActivity_Census_Tract_Estimate,PhysActivity_Estimate_Confidence_Interval,PhysActivity_Map_Symbol_withinHSR,PhysActivity_County_Regional_Estimate,PhysActivity_Map_Symbol_State,PhysActivity_State_Estimate
1,8043979000,"Census Tract 9790, Fremont County, Colorado",Fremont,2994,13,19.7,95% C.I.: 18.5 - 21.1,Fourth Quintile,County/Regional Estimate 18% (95% C.I.: 14.5 - 21.5),Fourth Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
2,8045951600,"Census Tract 9516, Garfield County, Colorado",Garfield,2800,12,16.9,95% C.I.: 15.7 - 18.1,Fourth Quintile,County/Regional Estimate 19.1% (95% C.I.: 14.8 - 23.5),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
3,8069002803,"Census Tract 28.03, Larimer County, Colorado",Larimer,97,2,12.2,95% C.I.: 11.7 - 12.7,Lowest Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Lowest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
4,8125963200,"Census Tract 9632, Yuma County, Colorado",Yuma,4381,1,20.4,95% C.I.: 17.7 - 23.7,Lowest Quintile,County/Regional Estimate 21.5% (95% C.I.: 14.7 - 28.3),Fourth Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
5,8069002401,"Census Tract 24.01, Larimer County, Colorado",Larimer,1190,2,15.9,95% C.I.: 15.3 - 16.5,Highest Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
6,8069002402,"Census Tract 24.02, Larimer County, Colorado",Larimer,2298,2,14.2,95% C.I.: 13.7 - 14.6,Fourth Quintile,County/Regional Estimate 14.1% (95% C.I.: 12.5 - 15.8),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
7,8103951200,"Census Tract 9512, Rio Blanco County, Colorado",Rio Blanco,2080,11,11,95% C.I.: 8.8 - 14.6,Middle Quintile,County/Regional Estimate 16.2% (95% C.I.: 8.1 - 24.4),Lowest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
8,8103951100,"Census Tract 9511, Rio Blanco County, Colorado",Rio Blanco,2887,11,12,95% C.I.: 9.9 - 15.2,Middle Quintile,County/Regional Estimate 16.2% (95% C.I.: 8.1 - 24.4),Lowest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
9,8049000201,"Census Tract 2.01, Grand County, Colorado",Grand,4247,12,13.5,95% C.I.: 11.8 - 15.6,Middle Quintile,County/Regional Estimate 14.5% (95% C.I.: 4.3 - 24.8),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
10,8049000202,"Census Tract 2.02, Grand County, Colorado",Grand,5788,12,15.4,95% C.I.: 13.6 - 18.2,Middle Quintile,County/Regional Estimate 14.5% (95% C.I.: 4.3 - 24.8),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
11,8049000100,"Census Tract 1, Grand County, Colorado",Grand,2203,12,12.3,95% C.I.: 10.5 - 15.4,Second Quintile,County/Regional Estimate 14.5% (95% C.I.: 4.3 - 24.8),Lowest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
