OBJECTID,Census_Tract_FIPS,Census_Tract_Name,County_Name,Adult_Population_Age18_and_over,Health_Statistics_Region,PhysHealth_Census_Tract_Estimate,PhysHealth_Estimate_Confidence_Interval,PhysHealth_Map_Symbol_withinHSR,PhysHealth_County_Regional_Estimate,PhysHealth_Map_Symbol_State,PhysHealth_State_Estimate
1,8043979000,"Census Tract 9790, Fremont County, Colorado",Fremont,2994,13,15.9,95% C.I.: 14.7 - 17.1,Highest Quintile,County/Regional Estimate 15.8% (95% C.I.: 12 - 19.5),Highest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
2,8045951600,"Census Tract 9516, Garfield County, Colorado",Garfield,2800,12,6.6,95% C.I.: 6 - 7.4,Fourth Quintile,County/Regional Estimate 7.7% (95% C.I.: 5.1 - 10.3),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
3,8069002803,"Census Tract 28.03, Larimer County, Colorado",Larimer,97,2,6.9,95% C.I.: 6.6 - 7.3,Lowest Quintile,County/Regional Estimate 8.2% (95% C.I.: 7 - 9.5),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
4,8125963200,"Census Tract 9632, Yuma County, Colorado",Yuma,4381,1,6.2,95% C.I.: 5 - 8.8,Lowest Quintile,County/Regional Estimate 7.1% (95% C.I.: 3 - 11.2),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
5,8069002401,"Census Tract 24.01, Larimer County, Colorado",Larimer,1190,2,9.3,95% C.I.: 9 - 9.8,Highest Quintile,County/Regional Estimate 8.2% (95% C.I.: 7 - 9.5),Middle Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
6,8069002402,"Census Tract 24.02, Larimer County, Colorado",Larimer,2298,2,8.8,95% C.I.: 8.4 - 9.1,Highest Quintile,County/Regional Estimate 8.2% (95% C.I.: 7 - 9.5),Middle Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
7,8103951200,"Census Tract 9512, Rio Blanco County, Colorado",Rio Blanco,2080,11,6,95% C.I.: 4.8 - 8.6,Lowest Quintile,County/Regional Estimate 6.7% (95% C.I.: 2.3 - 11.1),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
8,8103951100,"Census Tract 9511, Rio Blanco County, Colorado",Rio Blanco,2887,11,7.2,95% C.I.: 6 - 9.8,Middle Quintile,County/Regional Estimate 6.7% (95% C.I.: 2.3 - 11.1),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
9,8049000201,"Census Tract 2.01, Grand County, Colorado",Grand,4247,12,7.5,95% C.I.: 6.4 - 9.2,Fourth Quintile,County/Regional Estimate 5.1% (95% C.I.: 1.3 - 8.9),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
10,8049000202,"Census Tract 2.02, Grand County, Colorado",Grand,5788,12,5.2,95% C.I.: 4.3 - 7.4,Second Quintile,County/Regional Estimate 5.1% (95% C.I.: 1.3 - 8.9),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
11,8049000100,"Census Tract 1, Grand County, Colorado",Grand,2203,12,7.2,95% C.I.: 6.1 - 10.2,Fourth Quintile,County/Regional Estimate 5.1% (95% C.I.: 1.3 - 8.9),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
12,8081000600,"Census Tract 6, Moffat County, Colorado",Moffat,958,11,12,95% C.I.: 10.5 - 14.1,Highest Quintile,County/Regional Estimate 12.5% (95% C.I.: 7.5 - 17.4),Highest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
